Origin,location1,destination,location2,distance
0,"25.224555,55.424622",0,"25.224555,55.424622",0
0,"25.224555,55.424622",1,"24.450186,54.392092",157.235
0,"25.224555,55.424622",2,"25.345018,55.39871",20.424
0,"25.224555,55.424622",3,"24.475984,54.321883",167.531
0,"25.224555,55.424622",4,"25.681656,55.780582",79.15
0,"25.224555,55.424622",5,"25.245717,55.359237",8.609
0,"25.224555,55.424622",6,"24.490072,54.363083",161.228
1,"24.450186,54.392092",0,"25.224555,55.424622",154.106
1,"24.450186,54.392092",1,"24.450186,54.392092",0
1,"24.450186,54.392092",2,"25.345018,55.39871",159.96
1,"24.450186,54.392092",3,"24.475984,54.321883",12.223
1,"24.450186,54.392092",4,"25.681656,55.780582",228.434
1,"24.450186,54.392092",5,"25.245717,55.359237",148.974
1,"24.450186,54.392092",6,"24.490072,54.363083",9.702
2,"25.345018,55.39871",0,"25.224555,55.424622",21.27
2,"25.345018,55.39871",1,"24.450186,54.392092",160.614
2,"25.345018,55.39871",2,"25.345018,55.39871",0
2,"25.345018,55.39871",3,"24.475984,54.321883",170.91
2,"25.345018,55.39871",4,"25.681656,55.780582",71.673
2,"25.345018,55.39871",5,"25.245717,55.359237",16.922
2,"25.345018,55.39871",6,"24.490072,54.363083",164.607
3,"24.475984,54.321883",0,"25.224555,55.424622",166.512
3,"24.475984,54.321883",1,"24.450186,54.392092",11.2
3,"24.475984,54.321883",2,"25.345018,55.39871",172.366
3,"24.475984,54.321883",3,"24.475984,54.321883",0
3,"24.475984,54.321883",4,"25.681656,55.780582",240.84
3,"24.475984,54.321883",5,"25.245717,55.359237",161.38
3,"24.475984,54.321883",6,"24.490072,54.363083",7.396
4,"25.681656,55.780582",0,"25.224555,55.424622",77.906
4,"25.681656,55.780582",1,"24.450186,54.392092",226.921
4,"25.681656,55.780582",2,"25.345018,55.39871",68.786
4,"25.681656,55.780582",3,"24.475984,54.321883",237.217
4,"25.681656,55.780582",4,"25.681656,55.780582",0
4,"25.681656,55.780582",5,"25.245717,55.359237",78.701
4,"25.681656,55.780582",6,"24.490072,54.363083",230.914
5,"25.245717,55.359237",0,"25.224555,55.424622",9.029
5,"25.245717,55.359237",1,"24.450186,54.392092",148.381
5,"25.245717,55.359237",2,"25.345018,55.39871",15.518
5,"25.245717,55.359237",3,"24.475984,54.321883",158.677
5,"25.245717,55.359237",4,"25.681656,55.780582",81.966
5,"25.245717,55.359237",5,"25.245717,55.359237",0
5,"25.245717,55.359237",6,"24.490072,54.363083",152.374
6,"24.490072,54.363083",0,"25.224555,55.424622",158.042
6,"24.490072,54.363083",1,"24.450186,54.392092",5.959
6,"24.490072,54.363083",2,"25.345018,55.39871",163.896
6,"24.490072,54.363083",3,"24.475984,54.321883",8.002
6,"24.490072,54.363083",4,"25.681656,55.780582",232.37
6,"24.490072,54.363083",5,"25.245717,55.359237",152.91
6,"24.490072,54.363083",6,"24.490072,54.363083",0
