Origin,location1,destination,location2,distance
0,"3.16237,101.650386",0,"3.16237,101.650386",0
0,"3.16237,101.650386",1,"3.25493,101.692593",16.627
0,"3.16237,101.650386",2,"3.214293,101.640328",9.837
0,"3.16237,101.650386",3,"3.142642,101.710399",11.093
0,"3.16237,101.650386",4,"3.028152,101.718142",21.827
0,"3.16237,101.650386",5,"3.16382,101.656715",1.243
0,"3.16237,101.650386",6,"3.202535,101.733844",15.808
1,"3.25493,101.692593",0,"3.16237,101.650386",15.551
1,"3.25493,101.692593",1,"3.25493,101.692593",0
1,"3.25493,101.692593",2,"3.214293,101.640328",11.384
1,"3.25493,101.692593",3,"3.142642,101.710399",19.866
1,"3.25493,101.692593",4,"3.028152,101.718142",31.453
1,"3.25493,101.692593",5,"3.16382,101.656715",15.873
1,"3.25493,101.692593",6,"3.202535,101.733844",11.006
2,"3.214293,101.640328",0,"3.16237,101.650386",12.298
2,"3.214293,101.640328",1,"3.25493,101.692593",12.837
2,"3.214293,101.640328",2,"3.214293,101.640328",0
2,"3.214293,101.640328",3,"3.142642,101.710399",19.233
2,"3.214293,101.640328",4,"3.028152,101.718142",31.317
2,"3.214293,101.640328",5,"3.16382,101.656715",12.62
2,"3.214293,101.640328",6,"3.202535,101.733844",18.771
3,"3.142642,101.710399",0,"3.16237,101.650386",11.154
3,"3.142642,101.710399",1,"3.25493,101.692593",18.618
3,"3.142642,101.710399",2,"3.214293,101.640328",14.394
3,"3.142642,101.710399",3,"3.142642,101.710399",0
3,"3.142642,101.710399",4,"3.028152,101.718142",16.047
3,"3.142642,101.710399",5,"3.16382,101.656715",11.476
3,"3.142642,101.710399",6,"3.202535,101.733844",18.095
4,"3.028152,101.718142",0,"3.16237,101.650386",23.281
4,"3.028152,101.718142",1,"3.25493,101.692593",36.785
4,"3.028152,101.718142",2,"3.214293,101.640328",30.542
4,"3.028152,101.718142",3,"3.142642,101.710399",20.223
4,"3.028152,101.718142",4,"3.028152,101.718142",0
4,"3.028152,101.718142",5,"3.16382,101.656715",23.703
4,"3.028152,101.718142",6,"3.202535,101.733844",26.064
5,"3.16382,101.656715",0,"3.16237,101.650386",3.023
5,"3.16382,101.656715",1,"3.25493,101.692593",15.52
5,"3.16382,101.656715",2,"3.214293,101.640328",10.173
5,"3.16382,101.656715",3,"3.142642,101.710399",11.023
5,"3.16382,101.656715",4,"3.028152,101.718142",23.624
5,"3.16382,101.656715",5,"3.16382,101.656715",0
5,"3.16382,101.656715",6,"3.202535,101.733844",16.49
6,"3.202535,101.733844",0,"3.16237,101.650386",16.223
6,"3.202535,101.733844",1,"3.25493,101.692593",11.849
6,"3.202535,101.733844",2,"3.214293,101.640328",16.931
6,"3.202535,101.733844",3,"3.142642,101.710399",13.94
6,"3.202535,101.733844",4,"3.028152,101.718142",25.549
6,"3.202535,101.733844",5,"3.16382,101.656715",16.545
6,"3.202535,101.733844",6,"3.202535,101.733844",0
