Origin,location1,destination,location2,distance
0,"1.28441,103.852087",0,"1.28441,103.852087",0
0,"1.28441,103.852087",1,"1.284999,103.849645",0.35
0,"1.28441,103.852087",2,"1.361605,103.991825",21.144
0,"1.28441,103.852087",3,"1.277485,103.847437",1.893
0,"1.28441,103.852087",4,"1.289523,103.79013",8.306
0,"1.28441,103.852087",5,"1.293335,103.853096",2.178
0,"1.28441,103.852087",6,"1.285646,103.853945",3.27
1,"1.284999,103.849645",0,"1.28441,103.852087",0.98
1,"1.284999,103.849645",1,"1.284999,103.849645",0
1,"1.284999,103.849645",2,"1.361605,103.991825",20.793
1,"1.284999,103.849645",3,"1.277485,103.847437",1.542
1,"1.284999,103.849645",4,"1.289523,103.79013",8.249
1,"1.284999,103.849645",5,"1.293335,103.853096",1.827
1,"1.284999,103.849645",6,"1.285646,103.853945",2.919
2,"1.361605,103.991825",0,"1.28441,103.852087",21.379
2,"1.361605,103.991825",1,"1.284999,103.849645",21.585
2,"1.361605,103.991825",2,"1.361605,103.991825",0
2,"1.361605,103.991825",3,"1.277485,103.847437",21.707
2,"1.361605,103.991825",4,"1.289523,103.79013",28.689
2,"1.361605,103.991825",5,"1.293335,103.853096",19.881
2,"1.361605,103.991825",6,"1.285646,103.853945",20.18
3,"1.277485,103.847437",0,"1.28441,103.852087",1.45
3,"1.277485,103.847437",1,"1.284999,103.849645",1.265
3,"1.277485,103.847437",2,"1.361605,103.991825",21.261
3,"1.277485,103.847437",3,"1.277485,103.847437",0
3,"1.277485,103.847437",4,"1.289523,103.79013",8.722
3,"1.277485,103.847437",5,"1.293335,103.853096",2.297
3,"1.277485,103.847437",6,"1.285646,103.853945",3.389
4,"1.289523,103.79013",0,"1.28441,103.852087",8.861
4,"1.289523,103.79013",1,"1.284999,103.849645",9.067
4,"1.289523,103.79013",2,"1.361605,103.991825",29.064
4,"1.289523,103.79013",3,"1.277485,103.847437",7.599
4,"1.289523,103.79013",4,"1.289523,103.79013",0
4,"1.289523,103.79013",5,"1.293335,103.853096",8.976
4,"1.289523,103.79013",6,"1.285646,103.853945",10.396
5,"1.293335,103.853096",0,"1.28441,103.852087",2.318
5,"1.293335,103.853096",1,"1.284999,103.849645",2.163
5,"1.293335,103.853096",2,"1.361605,103.991825",20.733
5,"1.293335,103.853096",3,"1.277485,103.847437",2.457
5,"1.293335,103.853096",4,"1.289523,103.79013",8.726
5,"1.293335,103.853096",5,"1.293335,103.853096",0
5,"1.293335,103.853096",6,"1.285646,103.853945",2.153
6,"1.285646,103.853945",0,"1.28441,103.852087",1.521
6,"1.285646,103.853945",1,"1.284999,103.849645",1.727
6,"1.285646,103.853945",2,"1.361605,103.991825",20.785
6,"1.285646,103.853945",3,"1.277485,103.847437",1.534
6,"1.285646,103.853945",4,"1.289523,103.79013",8.81
6,"1.285646,103.853945",5,"1.293335,103.853096",2.368
6,"1.285646,103.853945",6,"1.285646,103.853945",0
