Origin,location1,destination,location2,distance
0,"33.591247,-101.922152",0,"33.591247,-101.922152",0
0,"33.591247,-101.922152",1,"37.129591,-76.513722",2722.843
0,"33.591247,-101.922152",2,"46.376124,-120.321207",2598.73
0,"33.591247,-101.922152",3,"33.909883,-117.456848",1732.996
0,"33.591247,-101.922152",4,"42.576924,-83.362816",2241.645
0,"33.591247,-101.922152",5,"34.859944,-82.264618",2069.402
0,"33.591247,-101.922152",6,"33.708557,-116.290081",1593.507
1,"37.129591,-76.513722",0,"33.591247,-101.922152",2725.432
1,"37.129591,-76.513722",1,"37.129591,-76.513722",0
1,"37.129591,-76.513722",2,"46.376124,-120.321207",4572.214
1,"37.129591,-76.513722",3,"33.909883,-117.456848",4273.963
1,"37.129591,-76.513722",4,"42.576924,-83.362816",1124.091
1,"37.129591,-76.513722",5,"34.859944,-82.264618",706.422
1,"37.129591,-76.513722",6,"33.708557,-116.290081",4183.8
2,"46.376124,-120.321207",0,"33.591247,-101.922152",2601.014
2,"46.376124,-120.321207",1,"37.129591,-76.513722",4571.812
2,"46.376124,-120.321207",2,"46.376124,-120.321207",0
2,"46.376124,-120.321207",3,"33.909883,-117.456848",1719.99
2,"46.376124,-120.321207",4,"42.576924,-83.362816",3640.069
2,"46.376124,-120.321207",5,"34.859944,-82.264618",4224.287
2,"46.376124,-120.321207",6,"33.708557,-116.290081",1834.674
3,"33.909883,-117.456848",0,"33.591247,-101.922152",1732.251
3,"33.909883,-117.456848",1,"37.129591,-76.513722",4270.737
3,"33.909883,-117.456848",2,"46.376124,-120.321207",1718.452
3,"33.909883,-117.456848",3,"33.909883,-117.456848",0
3,"33.909883,-117.456848",4,"42.576924,-83.362816",3620.352
3,"33.909883,-117.456848",5,"34.859944,-82.264618",3739.482
3,"33.909883,-117.456848",6,"33.708557,-116.290081",128.342
4,"42.576924,-83.362816",0,"33.591247,-101.922152",2242.048
4,"42.576924,-83.362816",1,"37.129591,-76.513722",1121.501
4,"42.576924,-83.362816",2,"46.376124,-120.321207",3637.507
4,"42.576924,-83.362816",3,"33.909883,-117.456848",3619.208
4,"42.576924,-83.362816",4,"42.576924,-83.362816",0
4,"42.576924,-83.362816",5,"34.859944,-82.264618",1144.059
4,"42.576924,-83.362816",6,"33.708557,-116.290081",3706.069
5,"34.859944,-82.264618",0,"33.591247,-101.922152",2069.299
5,"34.859944,-82.264618",1,"37.129591,-76.513722",703.171
5,"34.859944,-82.264618",2,"46.376124,-120.321207",4223.725
5,"34.859944,-82.264618",3,"33.909883,-117.456848",3739.811
5,"34.859944,-82.264618",4,"42.576924,-83.362816",1145.223
5,"34.859944,-82.264618",5,"34.859944,-82.264618",0
5,"34.859944,-82.264618",6,"33.708557,-116.290081",3616.997
6,"33.708557,-116.290081",0,"33.591247,-101.922152",1643.859
6,"33.708557,-116.290081",1,"37.129591,-76.513722",4182.345
6,"33.708557,-116.290081",2,"46.376124,-120.321207",1833.618
6,"33.708557,-116.290081",3,"33.909883,-117.456848",129.067
6,"33.708557,-116.290081",4,"42.576924,-83.362816",3707.03
6,"33.708557,-116.290081",5,"34.859944,-82.264618",3616.405
6,"33.708557,-116.290081",6,"33.708557,-116.290081",0
