Word,Frequency
death,18
risk,10
decline,9
debt,8
crisis,8
outbreak,7
limited,7
negative,6
emergency,5
restriction,5
fell,5
loss,4
virus,4
unable,4
risks,4
epidemic,4
declines,4
attacks,3
cheating,3
suffered,3
issue,3
limit,3
weaker,2
issues,2
delayed,2
breakdown,2
weaknesses,2
conflicts,2
difficult,2
stress,2
critical,2
complained,2
problem,2
downside,2
plot,2
burden,2
gross,2
contaminated,2
corruption,1
fall,1
infected,1
concerned,1
dragged,1
deter,1
scare,1
drastically,1
challenging,1
threaten,1
weak,1
misleading,1
crude,1
conflict,1
unforeseen,1
hard,1
disadvantages,1
laid-off,1
falls,1
interruption,1
infections,1
damage,1
inaccurate,1
volatile,1
stagnation,1
disruption,1
recession,1
catastrophic,1
lacks,1
vice,1
bullying,1
manipulate,1
reluctant,1
limitation,1
impossible,1
failure,1
nepotism,1
threat,1
slow,1
detrimental,1
ironically,1
inevitable,1
slowed,1
sharply,1
slowly,1
losses,1
severe,1
unsteady,1
corrupt,1
lost,1
inflationary,1
indulge,1
subdued,1
declining,1
