Word,Frequency
fall,14
falls,9
recession,7
risk,6
crisis,6
gross,4
unexpectedly,4
slump,3
dilemma,2
worry,2
decline,2
weak,2
broken,2
falling,2
risks,2
unusually,2
worsen,1
reluctance,1
expensive,1
unable,1
fear,1
concerns,1
problems,1
aggressive,1
fell,1
limit,1
struggled,1
downturn,1
worse,1
worries,1
impossible,1
waste,1
difficult,1
downside,1
volatile,1
slower,1
weaker,1
issues,1
hurt,1
toll,1
cheap,1
stalls,1
limited,1
barbaric,1
warned,1
negative,1
