Word,Frequency
gross,12
recession,4
problem,3
fallen,2
inflationary,2
incomplete,2
issues,2
burden,2
uncomfortably,2
debt,2
loss,2
fears,2
expensive,2
struggling,2
expired,2
slowed,2
sharply,2
falling,2
fall,2
fell,2
troubling,1
corruption,1
crushed,1
risk,1
bitter,1
problems,1
flagging,1
risks,1
pain,1
crisis,1
unusually,1
stresses,1
temper,1
reckless,1
lack,1
unaffordable,1
creeping,1
threat,1
worry,1
undermined,1
volatile,1
weaken,1
unacceptably,1
exacerbate,1
issue,1
battered,1
slow,1
threaten,1
worsening,1
radical,1
topple,1
distrust,1
lacked,1
inflict,1
